                   T[GeV]                nU[GeV^3]                nD[GeV^3]                nS[GeV^3]             nUBar[GeV^3]             nDBar[GeV^3]            nSBbar[GeV^3]                W[GeV^-2]               effMU[GeV]               effMD[GeV]               effMS[GeV]              effCPU[GeV]              effCPD[GeV]              effCPS[GeV]
                    0.068      0.00373827784174093      0.00373827784173999     0.000288809039063675     8.03504799949704e-07     8.03504799949193e-07     2.55277064906767e-08         7.86314212507333        0.149331093904331        0.149331093904407        0.470973375086796        0.318435705524512        0.318435705524512        0.318435705524512
                    0.069      0.00402836894209537      0.00402836894209399     0.000322322201778485     1.08034675817145e-06     1.08034675817042e-06     3.27344307813194e-08         8.42693120460887        0.128575788882086        0.128575788882209         0.46630762846541        0.318435705524512        0.318435705524512        0.318435705524512
                     0.07      0.00418694210652221      0.00418694210652611     0.000349436396819801     1.32080787008947e-06     1.32080787009303e-06     4.05771936359018e-08         8.87846534657583        0.118052467983996        0.118052467983623        0.463955627732207        0.318435705524512        0.318435705524512        0.318435705524512
                    0.071         0.00430830431262      0.00430830431262052      0.00037540177784093     1.56637976715268e-06     1.56637976715324e-06     4.96451753949292e-08         9.28291900269857        0.110577179177205        0.110577179177153        0.462241085743752        0.318435705524512        0.318435705524512        0.318435705524512
                    0.072      0.00441127046443104      0.00441127046443112     0.000401241983433756     1.82618910281359e-06     1.82618910281368e-06     6.02074153437184e-08         9.68160968089645        0.104679999598578         0.10467999959857        0.460836062210709        0.318435705524512        0.318435705524512        0.318435705524512
                    0.073      0.00450324601560431      0.00450324601560446     0.000427356104387934     2.10454126157809e-06      2.1045412615783e-06     7.25069670796052e-08         10.1710729415335       0.0997723477142996       0.0997723477142836        0.459613076001421        0.318435705524512        0.318435705524512        0.318435705524512
                    0.074      0.00458797216343681      0.00458797216339934     0.000453946324599101     2.40424406196253e-06     2.40424406190202e-06     8.67952076095885e-08         12.4248311042845       0.0955524883927238       0.0955524883970038        0.458508382828862        0.318435705524512        0.318435705524512        0.318435705524512
                    0.075      0.00466761932778042      0.00466761932777232     0.000481131602446456     2.72749337686164e-06     2.72749337684697e-06     1.03341631416994e-07         13.8019039996133       0.0918431138215049       0.0918431138224629        0.457485375884766        0.318435705524512        0.318435705524512        0.318435705524512
                    0.076      0.00474356885874714      0.00474356885876081     0.000508989970993793     3.07620541743787e-06     3.07620541746549e-06     1.22438403309764e-07         14.5296318942151       0.0885299359734152       0.0885299359717442        0.456520950916851        0.318435705524512        0.318435705524512        0.318435705524512
                    0.077      0.00481675581751542      0.00481675581748974     0.000537576396076739     3.45215392397688e-06      3.4521539239194e-06     1.44403012758469e-07         14.9622498758419       0.0855347216445437       0.0855347216477807        0.455599628371631        0.318435705524512        0.318435705524512        0.318435705524512
                    0.078        0.004887844750753      0.00488784475074476     0.000566932053537796      3.8570426251222e-06     3.85704262510189e-06     1.69580404975304e-07         15.2163876593252       0.0828012578026361       0.0828012578037048        0.454710519501148        0.318435705524512        0.318435705524512        0.318435705524512
                    0.079      0.00495732579816842      0.00495732579817147     0.000597089281053287     4.29254331261076e-06     4.29254331261902e-06     1.98344800042255e-07         15.3511691760921       0.0802876457007664       0.0802876457003594        0.453845683571201        0.318435705524512        0.318435705524512        0.318435705524512
                     0.08      0.00502557137107514      0.00502557137108057     0.000628074460627191     4.76031778269898e-06     4.76031778271504e-06     2.31101373812282e-07         15.4004976733475       0.0779617254872208       0.0779617254864771        0.452999163135727        0.318435705524512        0.318435705524512        0.318435705524512
