        quarkChemPot[GeV]       baryonChemPot[GeV]                   T[GeV]        pressure[GeVfm-3]        rhoB_broken[fm-3]        massU_broken[GeV]        massD_broken[GeV]        massS_broken[GeV]    energyDens_broken[GeVfm-3]      entropyDens_broken[fm-3]       sigmaU_broken[GeV]       sigmaD_broken[GeV]       sigmaS_broken[GeV]        rhoU_broken[fm-3]        rhoD_broken[fm-3]        rhoS_broken[fm-3]      rhoB_restored[fm-3]      massU_restored[GeV]      massD_restored[GeV]      massS_restored[GeV]  energyDens_restored[GeVfm-3]    entropyDens_restored[fm-3]     sigmaU_restored[GeV]     sigmaD_restored[GeV]     sigmaS_restored[GeV]      rhoU_restored[fm-3]      rhoD_restored[fm-3]      rhoS_restored[fm-3]
         0.23243919119376        0.697317573581281       0.0829000000000013       0.0114878512406251         0.06607657890182        0.326429412780072        0.326429412780067        0.511433858763428             0.100782464164516             0.798479562542468      -0.0119109886109764      -0.0119109886109763      -0.0154450340028201     0.000696976391181638     0.000696976391181668     0.000129146503644467        0.240141987992233        0.078284410010552        0.078284410010624        0.363207199768774              0.30552097587363              1.80402411014525      -0.0031947578571709     -0.00319475785717381      -0.0128154735031478      0.00251058475478902      0.00251058475478866     0.000514227397016446
        0.232246562341738        0.696739687025215       0.0830000000000014       0.0115295648788426       0.0662803731050396        0.326186188016077        0.326186188016082        0.511248440825792             0.101105926263141             0.800666562998338      -0.0119041889339731      -0.0119041889339733      -0.0154422151631603     0.000698995183639013      0.00069899518363898      0.00012980648041616        0.240007512133043        0.078430099091834       0.0784300990918021        0.363237957174059             0.305505524662853              1.80496783918745     -0.00320107202506258     -0.00320107202506128       -0.012815679837792      0.00250874948928007      0.00250874948928023     0.000514798189994693
        0.232053797013694        0.696161391041082       0.0831000000000014        0.011571352325562       0.0664844327475096         0.32594248306444        0.325942483064443        0.511062668600357             0.101429896735557             0.802856244007644      -0.0118973734505699        -0.01189737345057       -0.015439388984755     0.000701016044993528      0.00070101604499351     0.000130468437905372        0.239872719892457       0.0785761950078046       0.0785761950078061        0.363268947623479             0.305489811031049              1.80590898918842      -0.0032074026530093     -0.00320740265300935      -0.0128158918940433      0.00250691163597952      0.00250691163597951     0.000515366865802187
        0.231860895037837        0.695582685113511       0.0832000000000014       0.0116132134945045       0.0666887571929664        0.325698296817665        0.325698296817662         0.51087654147752              0.10175437567064             0.805048610216061      -0.0118905421119031       -0.011890542111903      -0.0154365554500326      0.00070303896776227     0.000703038967762287      0.00013113237641178        0.239737609467401       0.0787226991687929       0.0787226991687534        0.363300172183509             0.305473833795452              1.80684756215191     -0.00321374979075606     -0.00321374979075446      -0.0128161096936671       0.0025050711782809      0.00250507117828109     0.000515933416089001
         0.23166785624573        0.695003568737191       0.0833000000000014       0.0116551482998823       0.0668933458167567        0.325453628139057        0.325453628139049        0.510690058827871              0.10207936318494             0.807243666475429      -0.0118836948681751      -0.0118836948681749      -0.0154337145411065      0.00070506394459067     0.000705063944590713     0.000131798296245974        0.239602179066739       0.0788696129788842       0.0788696129789036        0.363331631921559             0.305457591787475              1.80778356010195     -0.00322011348769585     -0.00322011348769664      -0.0128163332583924      0.00250322809969993      0.00250322809969983     0.000516497832537948
        0.231474680456928        0.694424041370783       0.0834000000000014       0.0116971566540883       0.0670981979720583        0.325208475905131        0.325208475905131        0.510503220033673             0.102404859374194             0.809441417551893      -0.0118768316698512      -0.0118768316698512      -0.0154308662402145     0.000707090967895631     0.000707090967895631     0.000132466197664619        0.239466426860444       0.0790169378751809       0.0790169378750787        0.363363327920946             0.305441083797977              1.80871698485038     -0.00322649379453589     -0.00322649379453175       -0.012816562610324      0.00250138238336463      0.00250138238336514     0.000517060106708532
        0.231281367496525        0.693844102489574       0.0835000000000014       0.0117392384705569       0.0673033130283437         0.32496283895732        0.324962838957317        0.510316024453048             0.102730864368501             0.811641868459046      -0.0118699524662928      -0.0118699524662927      -0.0154280105292176     0.000709120030271746     0.000709120030271767      0.00013313608094441        0.239330351037603       0.0791646752831421       0.0791646752831867        0.363395261263826             0.305424308639739              1.80964783826123     -0.00323289076140031     -0.00323289076140211      -0.0128167977714719       0.0024995340125976      0.00249953401259737     0.000517620230215332
        0.231087917174108        0.693263751522325       0.0836000000000014       0.0117813936598958       0.0675086903256744        0.324716716158721        0.324716716158727        0.510128471462076             0.103057378267335             0.813845024063325       -0.011863057207364      -0.0118630572073642      -0.0154251473901894     0.000711151124008844     0.000711151124008813     0.000133807946293906        0.239193949736172       0.0793128266718225       0.0793128266718318        0.363427433052265             0.305407265071687              1.81057612192923     -0.00323930444017229     -0.00323930444017267      -0.0128170387643289      0.00249768297021048      0.00249768297021043     0.000518178194511723
        0.230894329314879        0.692682987944636       0.0837000000000014        0.011823622136325        0.067714329241837        0.324470106311017        0.324470106311013        0.509940560393359             0.103384401234482             0.816050889664325      -0.0118561458410728      -0.0118561458410727      -0.0154222768045531     0.000713184241800593     0.000713184241800611     0.000134481793983255        0.239057221146157       0.0794613934740156       0.0794613934740184        0.363459844377774             0.305389951909851               1.8115018376512     -0.00324573488110285     -0.00324573488110296      -0.0128172856110319      0.00249582923953855      0.00249582923953853     0.000518733991206899
        0.230700603720496        0.692101811161487       0.0838000000000014       0.0118659238090154       0.0679202291084538         0.32422300825761        0.324223008257629          0.5097522906122              0.10371193338015             0.818259470270899      -0.0118492183165001      -0.0118492183165006      -0.0154193987541516     0.000715219375859133     0.000715219375859027     0.000135157624181999         0.23892016338123       0.0796103771835236       0.0796103771835315        0.363492496358809             0.305372367889381              1.81242498683732     -0.00325218213694627     -0.00325218213694659      -0.0128175383343968      0.00249397280315627      0.00249397280315623     0.000519287611671017
        0.230506740205272        0.691520220615816       0.0839000000000014       0.0119082985903826       0.0681263892884921        0.323975420788366        0.323975420788365        0.509563661446313             0.104039974869757              0.82047077127058        -0.01184227458109        -0.01184227458109      -0.0154165132202584     0.000717256518732818     0.000717256518732824     0.000135835437109089        0.238782774596015       0.0797597792684749       0.0797597792684571         0.36352539010703             0.305354511790476              1.81334557104887     -0.00325864625926687     -0.00325864625926615      -0.0128177969569829      0.00249211364404895      0.00249211364404904     0.000519839047396381
        0.230312738569622        0.690938215708865       0.0840000000000014       0.0119507463900288       0.0683328091191887        0.323727342709579        0.323727342709592        0.509374672237515             0.104368525843924             0.822684797937675      -0.0118353145826387      -0.0118353145826391      -0.0154136201843045     0.000719295662704478     0.000719295662704405     0.000136515232922257        0.238645052900145       0.0799096012346739       0.0799096012346214        0.363558526752279             0.305336382345877               1.8142635916027     -0.00326512730113747     -0.00326512730113535      -0.0128180615017839      0.00249025174475531      0.00249025174475557     0.000520388289731743
        0.230118598620072        0.690355795860217       0.0841000000000014       0.0119932671190392       0.0685394879559134        0.323478772789693        0.323478772789699        0.509185322301629             0.104697586480382             0.824901555811707      -0.0118283382677504      -0.0118283382677506      -0.0154107196273139     0.000721336800253557     0.000721336800253524     0.000137197011803245        0.238506996424484       0.0800598445750532       0.0800598445750328        0.363591907422731             0.305317978312313              1.81517904987466     -0.00327162531499067     -0.00327162531498984      -0.0128183319916826      0.00248838708802815      0.00248838708802825     0.000520935330087295
        0.229924320149579        0.689772960448738       0.0842000000000014       0.0120358606860751       0.0687464251283025        0.323229709813777        0.323229709813781         0.50899561096874             0.105027156931901             0.827121050320176      -0.0118213455833832      -0.0118213455833833      -0.0154078115304688     0.000723379923593838     0.000723379923593815      0.00013788077387241        0.238368603254745       0.0802105108221444       0.0802105108221589        0.363625533265472             0.305299298398618              1.81609194699451     -0.00327814035484253     -0.00327814035484311      -0.0128186084500109      0.00248651965617183      0.00248651965617175     0.000521480159728718
          0.2297299029576        0.689189708872799       0.0843000000000014       0.0120785270012388       0.0689536199854678        0.322980152526969        0.322980152526962        0.508805537541457             0.105357237390537             0.829343287168027      -0.0118143364752418      -0.0118143364752416      -0.0154048958745226     0.000725425025150053      0.00072542502515009     0.000138566519276896        0.238229871498717       0.0803616014956555       0.0803616014956007        0.363659405425908             0.305280341338409              1.81700228415411     -0.00328467247406726     -0.00328467247406504      -0.0128188908999875        0.002484649431713      0.00248464943171327     0.000522022769985746
        0.229535346831974        0.688606040495922       0.0844000000000014       0.0121212659725249       0.0691610718552324        0.322730099685212        0.322730099685211        0.508615101332393             0.105687828029907             0.831568271987497      -0.0118073108892182      -0.0118073108892182      -0.0154019726403264     0.000727472097128119     0.000727472097128124     0.000139254248110985        0.238090799225643       0.0805131181496198       0.0805131181496276        0.363693525066433             0.305261105824506              1.81791006232814      -0.0032912217273977     -0.00329122172739801      -0.0128191793652264        0.002482776396797      0.00248277639679696     0.000522563152063883
        0.229340651565801        0.688021954697404       0.0845000000000014        0.012164077509302       0.0693687800822266        0.322479550007722        0.322479550007725        0.508424301629136             0.106018929059119             0.833796010665944      -0.0118002687700381      -0.0118002687700382      -0.0153990418083352     0.000729521131916671     0.000729521131916651       0.0001399439604907        0.237951384523487       0.0806650623271093       0.0806650623271407        0.363727893348666             0.305241590570747              1.81881528253654     -0.00329778816900486     -0.00329778816900613       -0.012819473869254      0.00248090053375743      0.00248090053375728     0.000523101297221678
           0.229145816941        0.687437450823001       0.0846000000000014        0.012206961518877        0.069576743990698        0.322228502223211        0.322228502223222         0.50823313772828              0.10635054067033             0.836026509026897      -0.0117932100625751      -0.0117932100625754      -0.0153961033590868     0.000731572121695044     0.000731572121694977     0.000140635656480955        0.237811625442307       0.0808174356063015       0.0808174356062791        0.363762511451442             0.305221794250734              1.81971794558404     -0.00330437185444629     -0.00330437185444539      -0.0128197744359948      0.00247902182455253      0.00247902182455264     0.000523637196595354
        0.228950842741638        0.686852528224915       0.0847000000000014       0.0122499179092788       0.0697849629149432        0.321976955031785        0.321976955031783        0.508041608907446             0.106682663081803             0.838259773091732      -0.0117861347107648      -0.0117861347107648      -0.0153931572728072     0.000733625058754033     0.000733625058754043     0.000141329336155212        0.237671520040175       0.0809702395629942        0.080970239562969        0.363797380556343             0.305201715547397              1.82061805227031     -0.00331097283907946     -0.00331097283907844      -0.0128200810893793      0.00247714025122342      0.00247714025122355     0.000524170841340776
        0.228755728743092        0.686267186229276       0.0848000000000014       0.0122929465868133       0.0699934361747912        0.321724907135238        0.321724907135237        0.507849714447568             0.107015296503543             0.840495808869837      -0.0117790426584676      -0.0117790426584676      -0.0153902035297244     0.000735679935237682     0.000735679935237691     0.000142024999547288        0.237531066345961       0.0811234758011645       0.0811234758011561        0.363832501859436             0.305181353112843              1.82151560321838     -0.00331759117935368     -0.00331759117935334      -0.0128203938536617      0.00247525579552201      0.00247525579552205     0.000524702222518443
        0.228560474725733        0.685681424177199       0.0849000000000014       0.0123360474592839       0.0702021631066364        0.321472357198597        0.321472357198594         0.50765745360461             0.107348441180859             0.842734622625008      -0.0117719338483693      -0.0117719338483692      -0.0153872421096678     0.000737736743469975      0.00073773674346999     0.000142722646712679        0.237390262406683       0.0812771459138527        0.081277145913842        0.363867876556422             0.305160705619231              1.82241059909153      -0.0033242269311554     -0.00332422693115497      -0.0128207127530179      0.00247336843938418      0.00247336843938424      0.00052523133123916
        0.228365080458589        0.685095241375766       0.0850000000000014        0.012379220432373       0.0704111430261659        0.321219303896243        0.321219303896256         0.50746482564358             0.107682097341991             0.844976220556566      -0.0117648082232954      -0.0117648082232957      -0.0153842729925487     0.000739795475562362     0.000739795475562288     0.000143422277654822        0.237249106229998       0.0814312515318822       0.0814312515318758        0.363903505861161             0.305139771696821               1.8233030403288     -0.00333088015186382     -0.00333088015186356      -0.0128210378120421      0.00247147816435566      0.00247147816435569     0.000525758158487059
        0.228169545706696        0.684508637120089       0.0851000000000014       0.0124224654111677       0.0706203752451888        0.320965745890879        0.320965745890895        0.507271829822997             0.108016265221976             0.847220608944177      -0.0117576657256105      -0.0117576657256109      -0.0153812961581407     0.000741856123590884     0.000741856123590795     0.000144123892358308        0.237107595810762       0.0815857943006505       0.0815857943006427        0.363939390997176             0.305118549962376              1.82419292726553     -0.00333755089937261     -0.00333755089937229      -0.0128213690555197      0.00246958495185758      0.00246958495185762     0.000526282695200191
         0.22797387024632        0.683921610738961       0.0852000000000014       0.0124657823033215       0.0708298591076502        0.320711681788285        0.320711681788295        0.507078465361639             0.108350945113646             0.849467794455976      -0.0117505062959268      -0.0117505062959271       -0.015378311585607     0.000743918679975548     0.000743918679975489     0.000144827490860749        0.236965729183035       0.0817407758380465       0.0817407758380904         0.36397553318095             0.305097039075504              1.82508026037347     -0.00334423923030696     -0.00334423923030875      -0.0128217065079759      0.00246768878370479      0.00246768878370457     0.000526804932433264
        0.227778053826916        0.683334161480749       0.0853000000000014       0.0125091710112105       0.0710395939002076        0.320457110249067        0.320457110249065        0.506884731520885             0.108686137241238             0.851717783384711      -0.0117433298762892      -0.0117433298762891      -0.0153753192546679     0.000745983136538691       0.0007459831365387     0.000145533073074562        0.236823504288752       0.0818961978427507       0.0818961978427652        0.364011933664297             0.305075237596606              1.82596503965369     -0.00335094520460322     -0.00335094520460381      -0.0128220501948153      0.00246578964079593      0.00246578964079585     0.000527324860948825
