               rhoB[fm-3]               rhoU[fm-3]               rhoD[fm-3]               rhoS[fm-3]               rhoE[fm-3]               massU[MeV]               massD[MeV]               massS[MeV]         effChemPotU[MeV]         effChemPotD[MeV]         effChemPotS[MeV]            chemPotU[MeV]            chemPotD[MeV]            chemPotS[MeV]       baryonChemPot[MeV]            chemPotE[MeV]        pressure[MeVfm-3]   energyDensity[MeVfm-3]  entropyDensity[MeVfm-3]
       0.0294157971594319       0.0294189087199525       0.0588284505332652                        0     3.12184323434507e-06         350.033415101258         345.333255846566         540.771656271468         373.626740023598         382.563394710282         382.563394710282         375.913650204646          384.85030489133          384.85030489133         1145.61425998731          8.9366546866847        0.354213250438667         33.3449311343615                        0
       0.0301159351870374       0.0301191694249393       0.0602286045613105                        0     3.24432650562926e-06         349.611524229982         344.802614261654         540.568359884101         373.592878426288         382.644536649316         382.644536649316         375.934238262632         384.985896485659         384.985896485659         1145.90603123395         9.05165822302739        0.362897601631951         34.1471221008861                        0
       0.0308160732146429       0.0308194319816295       0.0616287567333091                        0     3.36866178065868e-06         349.189408440842         344.271858297355         540.365200252918         373.556492061451         382.721973792619         382.721973792619         375.952302814819         385.117784545987         385.117784545987         1146.18787190679         9.16548173116799        0.371483712248666         34.9495138455525                        0
       0.0315162112422485       0.0315196963870322       0.0630289070527123                        0     3.49484590114021e-06         348.767063705028         343.740983088325         540.162175911014         373.517661363285         382.795834870294         382.795834870294         375.967924324716         385.246097831725         385.246097831725         1146.46011998817         9.27817350700927        0.379968208829593          35.752099535591                        0
        0.032216349269854       0.0322199626385271       0.0644290555212727                        0      3.6228767037467e-06         348.344486090117         343.209983918786          539.95928545241         373.476462510481         382.866241837656         382.866241837656         375.981179000287         385.370958327462         385.370958327462         1146.72309565521         9.38977932717483         0.38834786068263         36.5548725678753                        0
       0.0329164872974595       0.0329202307350086       0.0658292021405761                        0     3.75275298045714e-06         347.921671752976         342.678856214188         539.756527528534         373.432967736371         382.933310371169         382.933310371169         375.992139104167         385.492481738965         385.492481738965          1146.9771025821         9.50034263479799        0.396619572016431         37.3578265583474                        0
        0.033616625325065       0.0336205006760206       0.0672293469106292                        0     3.88447443960953e-06         347.498616935556         342.147595533866         539.553900845615          373.38724561161         382.997150317745         382.997150317745          376.00087323629         385.610777942424         385.610777942424         1147.22242912114         9.60990470613438         0.40478037528097         38.1609553297419                        0
       0.0343167633526705        0.034320772461849       0.0686294898306298                        0     4.01804167066329e-06         347.075317960072         341.616197563739         539.351404161839         373.339361300882         383.057866103726         383.057866103726         376.007446590612         385.725951393456         385.725951393456         1147.45934937752         9.71850480284403        0.412827424737317         38.9642529015844                        0
       0.0350169013802761       0.0350210460939198       0.0700296308989874                        0     4.15345611221002e-06         346.651771224026         341.084658110085         539.149036284825         373.289376796503         383.115557107793         383.115557107793          376.01192118873          385.83810150002          385.83810150002         1147.68812418877         9.82618031129046         0.42075799054155         39.7677134806934                        0
       0.0357170394078816       0.0357213215739636       0.0714297701129901                        0     4.29072002058341e-06         346.227973197023           340.5529730932         538.946796069384         373.237351132459         383.170318000803         383.170318000803         376.014356093885         385.947322962229         385.947322962229         1147.90900201834         9.93296686834416        0.428569453290721         40.5713314516617                        0
       0.0364171774354871       0.0364215989053143       0.0728299074698374                        0     4.42983644280541e-06         345.803920415609          340.02113854165         538.744682415007         373.183340579177           383.2222390573           383.2222390573         376.014807605797         386.053706083919         386.053706083919         1148.12221977363         10.0388984781221        0.436259298519027         41.3751013697157                        0
       0.0371173154630926       0.0371218780911968       0.0742300429648903                        0     4.57080918939192e-06         345.379609480886         339.489150587189         538.542694264294         373.127398822831         383.271406440176         383.271406440176         376.013329439875          386.15733705722          386.15733705722         1148.32800355432         10.1440076173452        0.443825112008298          42.179017951412                        0
