              rho_B[fm-3]              rho_u[fm-3]              rho_d[fm-3]              rho_s[fm-3]                cp_B[MeV]                cp_u[MeV]                cp_d[MeV]                cp_s[MeV]                 M_u[MeV]                 M_d[MeV]                 M_s[MeV]               P[MeVfm-3]               E[MeVfm-3]                  S[fm-3]
       0.0213515939492437       0.0320273909265155       0.0320273909265233                        0         1133.54060693152         377.846868977172         377.846868977172         377.846868977172         353.128876520792         353.128876520788         543.116305866019        0.173570034461219         24.0293287317245                        0
       0.0216016127015877       0.0324024190549399       0.0324024190549273                        0         1133.62271766002         377.874239220007         377.874239220007         377.874239220007         352.958798541403          352.95879854141         543.042959742442        0.175333452372763         24.3127454461699                        0
       0.0218516314539317       0.0327774471833607       0.0327774471833552                        0         1133.70285003354         377.900950011181         377.900950011181         377.900950011181         352.788702574485         352.788702574488         542.969633584894        0.177074417227853         24.5961824418354                        0
       0.0221016502062758       0.0331524753117823       0.0331524753117814                        0         1133.78103642941         377.927012143138         377.927012143138         377.927012143138         352.618588306893         352.618588306894         542.896327274543        0.178792651287983         24.8796392281734                        0
       0.0223516689586198       0.0335275034402264       0.0335275034402131                        0         1133.85730835702         377.952436119007         377.952436119007         377.952436119007         352.448455429949         352.448455429956         542.823040694688        0.180487881865701          25.163115322572                        0
       0.0226016877109639       0.0339025315686531       0.0339025315686541                        0            1133.93169649         377.977232163333         377.977232163333         377.977232163333         352.278303639227         352.278303639226         542.749773730668          0.1821598409715         25.4466102503277                        0
       0.0228517064633079       0.0342775596970944       0.0342775596970848                        0         1134.00423069789         378.001410232629         378.001410232629         378.001410232629         352.108132634583         352.108132634588         542.676526269881        0.183808265557649         25.7301235441081                        0
        0.023101725215652       0.0346525878255327       0.0346525878255238                        0         1134.07494007507         378.024980025022         378.024980025022         378.024980025022         351.937942119901         351.937942119906         542.603298201657        0.185432897052199         26.0136547440686                        0
        0.023351743967996       0.0350276159539656       0.0350276159539937                        0         1134.14385296922         378.047950989739         378.047950989739         378.047950989739         351.767731803045         351.767731803031         542.530089417236        0.187033481389683          26.297203397526                        0
         0.02360176272034       0.0354026440824216       0.0354026440824328                        0         1134.21099700793         378.070332335976         378.070332335976         378.070332335976         351.597501395671         351.597501395665         542.456899809709        0.188609768792568         26.5807690588405                        0
       0.0238517814726841       0.0357776722108774       0.0357776722108721                        0         1134.27639912466         378.092133041555         378.092133041555         378.092133041555          351.42725061329         351.427250613293         542.383729274003        0.190161513862468         26.8643512890806                        0
       0.0241018002250281       0.0361527003393321       0.0361527003393283                        0         1134.34008558279         378.113361860931         378.113361860931         378.113361860931         351.256979174982         351.256979174984         542.310577706781        0.191688475215291         27.1479496560943                        0
       0.0243518189773722       0.0365277284677865        0.036527728467786                        0         1134.40208199928         378.134027333094         378.134027333094         378.134027333094         351.086686803445         351.086686803445         542.237445006447        0.193190415604961         27.4315637341036                        0
       0.0246018377297162       0.0369027565962466       0.0369027565962532                        0         1134.46241336671         378.154137788903         378.154137788903         378.154137788903         350.916373224797         350.916373224794          542.16433107308         0.19466710166965         27.7151931037085                        0
       0.0248518564820603       0.0372777847247148       0.0372777847246979                        0         1134.52110407465         378.173701358216         378.173701358216         378.173701358216         350.746038168515         350.746038168524         542.091235808379        0.196118303836949         27.9988373517176                        0
       0.0251018752344043       0.0376528128531863       0.0376528128531595                        0         1134.57817793025         378.192725976749         378.192725976749         378.192725976749         350.575681367425         350.575681367439         542.018159115667        0.197543796395215         28.2824960708713                        0
       0.0253518939867483       0.0380278409816387       0.0380278409816385                        0         1134.63365817743         378.211219392475         378.211219392475         378.211219392475         350.405302557516         350.405302557516         541.945100899808        0.198943357203676         28.5661688598539                        0
       0.0256019127390924        0.038402869110098       0.0384028691101103                        0         1134.68756751566         378.229189171885         378.229189171885         378.229189171885         350.234901477871         350.234901477864         541.872061067185        0.200316767671657         28.8498553231045                        0
       0.0258519314914364       0.0387778972385771       0.0387778972385737                        0         1134.73992811786         378.246642705953         378.246642705953         378.246642705953         350.064477870627         350.064477870629         541.799039525668        0.201663812712521         29.1335550706624                        0
       0.0261019502437805       0.0391529253670599       0.0391529253670423                        0          1134.7907616476         378.263587215865         378.263587215865         378.263587215865         349.894031480941          349.89403148095         541.726036184595        0.202984280694907         29.4172677179763                        0
       0.0263519689961245       0.0395279534955103         0.03952795349553                        0         1134.84008927521         378.280029758403         378.280029758403         378.280029758403         349.723562056811         349.723562056801         541.653050954695        0.204277963199787         29.7009928859488                        0
       0.0266019877484686       0.0399029816239938       0.0399029816239938                        0         1134.88793169383         378.295977231277         378.295977231277         378.295977231277         349.553069349052         349.553069349052         541.580083748101        0.205544655134267         29.9847302006457                        0
       0.0268520065008126       0.0402780097524632        0.040278009752475                        0         1134.93430913423         378.311436378075         378.311436378075         378.311436378075         349.382553111248         349.382553111242         541.507134478279         0.20678415449677         30.2684792933172                        0
