         temperature[GeV]            effMassU[GeV]            effMassD[GeV]            effMassS[GeV]            chemPotU[GeV]            chemPotD[GeV]            chemPotS[GeV]          pressure[GeV^4]     energyDensity[GeV^4]    entropyDensity[GeV^3]     quarkDensityU[GeV^3]     quarkDensityD[GeV^3]     quarkDensityS[GeV^3]
                     0.13        0.320791163000009        0.320791163000588        0.504856759084441       0.0255127563781891       0.0255127563781891       0.0255127563781891     0.000363062092324375      0.00202858429914351       0.0182790421952634     0.000230880567612529     0.000230880567612129     0.000140718105020534
                     0.13        0.320736981519823        0.320736981518498         0.50481539389146       0.0257628814407204       0.0257628814407204       0.0257628814407204     0.000363213547074942      0.00202953521767994       0.0182851609254124     0.000233208024926456     0.000233208024927379     0.000142127854018061
                     0.13        0.320682221570832        0.320682221569983        0.504773588904218       0.0260130065032516       0.0260130065032516       0.0260130065032516     0.000363366519497973      0.00203049586615751       0.0182913418897065      0.00023553740213894     0.000235537402139537     0.000143538504156172
                     0.13        0.320626881560876        0.320626881563077         0.50473134296482       0.0262631315657829       0.0262631315657829       0.0262631315657829     0.000363521010598021      0.00203146625883807       0.0182975851677141     0.000237868720392988     0.000237868720391424     0.000144950065123791
                     0.13        0.320570959937245        0.320570959937376        0.504688654944389       0.0265132566283142       0.0265132566283142       0.0265132566283142     0.000363677021624025      0.00203244640967876       0.0183038908381204     0.000240202000868527     0.000240202000868433     0.000146362546625788
                     0.13        0.320514455117489        0.320514455116752        0.504645523698295       0.0267633816908454       0.0267633816908454       0.0267633816908454     0.000363834553831564      0.00203343633282403       0.0183102589806619      0.00024253726483143     0.000242537264831964     0.000147775958397159
                     0.13        0.320457365467888         0.32045736546805         0.50460194804315       0.0270135067533767       0.0270135067533767       0.0270135067533767     0.000363993608366669      0.00203443604286079       0.0183166896771822     0.000244874533650577     0.000244874533650458     0.000149190310210935
                     0.13        0.320399689385406        0.320399689384489        0.504557926814541        0.027263631815908        0.027263631815908        0.027263631815908     0.000364154186556116      0.00203544555417021       0.0183231830089053     0.000247213828739443     0.000247213828740119     0.000150605611859911
                     0.13        0.320341425210659        0.320341425213574        0.504513458815309       0.0275137568784392       0.0275137568784392       0.0275137568784392     0.000364316289657354      0.00203646488151844       0.0183297390590259      0.00024955517162017     0.000249555171617998     0.000152021873173711
                     0.13        0.320282571263173        0.320282571265018        0.504468542821115       0.0277638819409705       0.0277638819409705       0.0277638819409705     0.000364479918864288      0.00203749403996859        0.018336357912081     0.000251898583899309     0.000251898583897921     0.000153439104017596
                     0.13        0.320223125859953        0.320223125857821         0.50442317761503       0.0280140070035017       0.0280140070035017       0.0280140070035017     0.000364645075510497      0.00203853304452353       0.0183430396527761     0.000254244087254765     0.000254244087256384     0.000154857314281313
