         temperature[GeV]            effMassU[GeV]            effMassD[GeV]            effMassS[GeV]            chemPotU[GeV]            chemPotD[GeV]            chemPotS[GeV]          pressure[GeV^4]     energyDensity[GeV^4]    entropyDensity[GeV^3]     quarkDensityU[GeV^3]     quarkDensityD[GeV^3]     quarkDensityS[GeV^3]
                    0.075          0.3659179717161        0.365917971716135        0.548608804501147       0.0170085042521261       0.0170085042521261       0.0170085042521261     7.33061491921261e-06     5.30239199906177e-05     0.000799764510968886     9.60175403962244e-06     9.60175403961963e-06     2.67946184933514e-06
                    0.075        0.365916659957475        0.365916659957491        0.548608145802957       0.0172586293146573       0.0172586293146573       0.0172586293146573     7.33612936264921e-06     5.30639174531472e-05     0.000800222972072058     9.74550181868113e-06     9.74550181867975e-06     2.71956148453267e-06
                    0.075        0.365915328680804        0.365915328680814        0.548607477305904       0.0175087543771886       0.0175087543771886       0.0175087543771886     7.34172578041592e-06     5.31045096749325e-05     0.000800688211825488     9.88936153407954e-06     9.88936153407869e-06     2.75969170681054e-06
                    0.075        0.365913977869789        0.365913977869799        0.548606799001834       0.0177588794397199       0.0177588794397199       0.0177588794397199     7.34740423295049e-06     5.31456971339314e-05     0.000801160233971284     1.00333348410779e-05      1.0033334841077e-05     2.79985296779422e-06
                    0.075        0.365912607508029        0.365912607508137         0.54860611088269       0.0180090045022511       0.0180090045022511       0.0180090045022511     7.35316478569364e-06     5.31874803108151e-05       0.0008016390423031     1.01774233963569e-05     1.01774233963474e-05     2.84004571946767e-06
                    0.075        0.365911217579334        0.365911217579338        0.548605412940339       0.0182591295647824       0.0182591295647824       0.0182591295647824     7.35900750786778e-06     5.32298596903971e-05     0.000802124640669506     1.03216288580105e-05     1.03216288580102e-05     2.88027041418081e-06
                    0.075        0.365909808066388        0.365909808066388        0.548604705166231       0.0185092546273137       0.0185092546273137       0.0185092546273137     7.36493246086128e-06     5.32728357734852e-05     0.000802617032976825      1.0465952885684e-05      1.0465952885684e-05     2.92052750465942e-06
                    0.075        0.365908378952362        0.365908378952384        0.548603987552031       0.0187593796898449       0.0187593796898449       0.0187593796898449     7.37093971569375e-06     5.33164090589164e-05     0.000803116223181986     1.06103971404537e-05     1.06103971404517e-05     2.96081744400184e-06
                    0.075        0.365906930220002         0.36590693021998        0.548603260089124       0.0190095047523762       0.0190095047523762       0.0190095047523762     7.37702934060225e-06       5.336058005629e-05     0.000803622215297378      1.0754963284928e-05     1.07549632849301e-05     3.00114068569104e-06
                    0.075        0.365905461851792        0.365905461851792        0.548602522768888       0.0192596298149075       0.0192596298149075       0.0192596298149075     7.38320140713372e-06     5.34053492800557e-05     0.000804135013392994     1.08996529832538e-05     1.08996529832538e-05     3.04149768359609e-06
                    0.075        0.365903973829879        0.365903973829873        0.548601775582399       0.0195097548774387       0.0195097548774387       0.0195097548774387     7.38945598331014e-06     5.34507172558138e-05     0.000804654621588861     1.10444679011456e-05     1.10444679011461e-05     3.08188889198161e-06
                    0.075        0.365902466136314        0.365902466136319        0.548601018520753         0.01975987993997         0.01975987993997         0.01975987993997      7.3957931420246e-06     5.34966845125509e-05      0.00080518104406372     1.11894097058835e-05     1.11894097058829e-05     3.12231476550859e-06
                    0.075        0.365900938752881        0.365900938752863        0.548600251574932       0.0200100050025013       0.0200100050025013       0.0200100050025013     7.40221295638527e-06     5.35432515869697e-05     0.000805714285050728     1.13344800663504e-05     1.13344800663521e-05     3.16277575924154e-06
                    0.075        0.365899391661075        0.365899391661058        0.548599474735735       0.0202601300650325       0.0202601300650325       0.0202601300650325     7.40871549956279e-06      5.3590419023454e-05     0.000806254348834765     1.14796806530554e-05     1.14796806530571e-05     3.20327232865471e-06
                    0.075        0.365897824842164        0.365897824842143        0.548598687993859       0.0205102551275638       0.0205102551275638       0.0205102551275638     7.41530084590741e-06      5.3638187373542e-05      0.00080680123975968     1.16250131381497e-05     1.16250131381518e-05     3.24380492963651e-06
                    0.075        0.365896238277207        0.365896238277187        0.548597891339917        0.020760380190095        0.020760380190095        0.020760380190095     7.42196907123349e-06     5.36865571949957e-05     0.000807354962220748      1.1770479195445e-05     1.17704791954471e-05     3.28437401849427e-06
